category,key,display_name,filename,folder,already_exists,recommended_size_px,use_in_app,image_prompt
CROP,mustard,Mustard,mustard.jpeg,assets/crops/,NO,400x400,FarmProfileBanner / AgriStore / Market,"Hyper-realistic photo of a bright yellow mustard field in full bloom, rows of yellow flowers stretching to the horizon, blue sky above, Indian Rabi season Punjab/Rajasthan landscape, golden hour light, 400x400 square crop"
CROP,bajra,Bajra / Pearl Millet,bajra.jpeg,assets/crops/,NO,400x400,FarmProfileBanner / AgriStore / Market,"Hyper-realistic close-up of a pearl millet (bajra) spike with dense grey-white grains, tall stalks in blurred Rajasthan/Gujarat background, dry arid Indian farm setting, warm light, 400x400 square crop"
CROP,jowar,Jowar / Sorghum,jowar.jpeg,assets/crops/,NO,400x400,FarmProfileBanner / AgriStore / Market,"Hyper-realistic close-up of a sorghum (jowar) panicle with reddish-brown to cream grain heads, Indian Kharif field background blurred, warm dry air atmosphere, 400x400 square crop"
CROP,banana,Banana,banana.jpeg,assets/crops/,NO,400x400,FarmProfileBanner / AgriStore,"Hyper-realistic close-up of a bunch of ripe yellow bananas still on the stem, fresh glistening skin, tropical Indian plantation, soft green-leaf bokeh background, bright daylight, 400x400 square"
CROP,papaya,Papaya,papaya.jpeg,assets/crops/,NO,400x400,FarmProfileBanner / AgriStore,"Hyper-realistic close-up of 2 ripe yellow-orange papayas on the tree, one slightly cut to show orange flesh and black seeds, tropical Indian garden, warm bright light, 400x400 square"
CROP,garlic,Garlic,garlic.jpeg,assets/crops/,NO,400x400,FarmProfileBanner / AgriStore / CropScan,"Hyper-realistic close-up of 3 fresh garlic bulbs with papery white skin and dried roots, one slightly opened showing cloves, placed on rustic jute cloth, warm light, 400x400 square"
CROP,ginger,Ginger,ginger.jpeg,assets/crops/,NO,400x400,FarmProfileBanner / AgriStore / CropScan,"Hyper-realistic close-up of fresh ginger rhizome pieces with tan-beige skin and slight green shoots, earthy texture, dark rustic wooden board, warm soft light, 400x400 square"
CROP,turmeric,Turmeric,turmeric.jpeg,assets/crops/,NO,400x400,FarmProfileBanner / AgriStore / CropScan,"Hyper-realistic close-up of fresh turmeric (haldi) roots with rough orange-yellow skin and bright orange cross-section showing, placed on dark stone, Indian spice context, 400x400 square"
CROP,coriander,Coriander,coriander.jpeg,assets/crops/,NO,400x400,FarmProfileBanner / AgriStore / CropScan,"Hyper-realistic close-up of fresh green coriander (dhania) leaves, delicate bright green leaves with stems, dewy texture, light background, 400x400 square crop"
CROP,peas,Peas / Matar,peas.jpeg,assets/crops/,NO,400x400,FarmProfileBanner / AgriStore / CropScan,"Hyper-realistic close-up of a fresh green pea pod opened to reveal 5–6 round plump peas inside, bright green colour, water droplets, light background, Indian winter vegetable, 400x400 square"
CROP,cucumber,Cucumber,cucumber.jpeg,assets/crops/,NO,400x400,FarmProfileBanner / AgriStore / CropScan,"Hyper-realistic close-up of 2 fresh dark-green cucumbers on the vine, one cut crosswise to show seeds, bright green tones, crisp texture, 400x400 square crop"
CROP,watermelon,Watermelon,watermelon.jpeg,assets/crops/,NO,400x400,FarmProfileBanner / AgriStore,"Hyper-realistic close-up of a large striped watermelon, one wedge cut and placed beside it showing vivid red flesh with black seeds, Indian summer farm, warm light, 400x400 square"
SOIL,black,Black Cotton Soil,black.jpeg,assets/soil/,YES,400x400,FarmProfileBanner / SoilHealth / CropScan,"Hyper-realistic macro close-up photo of rich dark black cotton (Regur) soil, deep dark charcoal-black colour with visible fine clay cracks in dry state, some moisture visible in crevices, Indian Deccan plateau, overhead flat-lay shot, no plants, 400x400 square"
SOIL,red,Red Laterite Soil,red.jpeg,assets/soil/,YES,400x400,FarmProfileBanner / SoilHealth / CropScan,"Hyper-realistic macro close-up photo of red laterite soil, vivid brick-red and orange-red colour, coarse granular texture, some small pebbles, dry surface, Indian Peninsular region, overhead flat-lay or 45-degree angle shot, no plants, 400x400 square"
SOIL,alluvial,Alluvial Soil,alluvial.jpeg,assets/soil/,YES,400x400,FarmProfileBanner / SoilHealth / CropScan,"Hyper-realistic macro close-up photo of fertile alluvial (Indo-Gangetic) soil, rich brown-tan colour, fine silty loam texture, moist and loose appearance, small bits of organic matter, overhead flat-lay shot, Indian river-plain context, no plants, 400x400 square"
SOIL,sandy,Sandy Loam Soil,sandy.jpeg,assets/soil/,YES,400x400,FarmProfileBanner / SoilHealth / CropScan,"Hyper-realistic macro close-up photo of sandy loam soil, light tan-beige colour, visible individual sand grains mixed with some clay particles, loose crumbly texture, dry arid feel, Indian arid/semi-arid region, overhead flat-lay, no plants, 400x400 square"
SOIL,clay,Clay Soil,clay.png,assets/soil/,YES,400x400,FarmProfileBanner / SoilHealth / CropScan,"Hyper-realistic macro close-up photo of heavy clay soil, dark grey-brown colour, dense compact texture, wide surface cracks from drying, sticky shiny facets on broken edges, Indian heavy soil, overhead flat-lay shot, no plants, 400x400 square"
SOIL,laterite,Laterite / Rocky Soil,laterite.jpeg,assets/soil/,YES,400x400,FarmProfileBanner / SoilHealth / CropScan,"Hyper-realistic macro close-up photo of laterite rocky soil, reddish-orange colour with grey-brown hard rock fragments, porous vesicular texture, rough broken surface, South India (Kerala/Karnataka) feel, 45-degree angle shot, no plants, 400x400 square"
IRRIGATION,drip,Drip Irrigation,drip.jpeg,assets/irrigation/,YES,600x400,FarmProfileBanner / IrrigationScreen,"Hyper-realistic wide-angle photo of a drip irrigation system in an Indian field, black drip lines running parallel across rows of crops (tomato or onion), small black emitters at plant bases, dry soil around plants, golden morning light, overhead-angled perspective, 600x400 landscape"
IRRIGATION,sprinkler,Sprinkler Irrigation,sprinkler.jpeg,assets/irrigation/,YES,600x400,FarmProfileBanner / IrrigationScreen,"Hyper-realistic photo of sprinkler irrigation in action in a green Indian wheat or sugarcane field, fan of water droplets spraying from rotating sprinkler head, water catching sunlight creating rainbow effect, lush green field, warm daytime light, 600x400 landscape"
IRRIGATION,flood,Flood / Furrow Irrigation,flood.jpeg,assets/irrigation/,YES,600x400,FarmProfileBanner / IrrigationScreen,"Hyper-realistic photo of traditional flood irrigation in an Indian paddy (rice) field, rows of earthen bunds channelling water between crop rows, muddy brown water flowing through furrows, farmer silhouette in background, golden afternoon light, 600x400 landscape"
IRRIGATION,rainfed,Rainfed Farming,rainfed.jpeg,assets/irrigation/,YES,600x400,FarmProfileBanner / IrrigationScreen,"Hyper-realistic photo of a rain-fed Indian farm during monsoon rain, heavy rain falling on a green soybean or jowar crop field, dramatic dark cloudy sky with rain streaks visible, wet glistening leaves, moody warm-grey atmosphere, 600x400 landscape"
IRRIGATION,canal,Canal Irrigation,canal.jpeg,assets/irrigation/,YES,600x400,FarmProfileBanner / IrrigationScreen,"Hyper-realistic photo of a concrete irrigation canal (nala) running through Indian agricultural land, clear water flowing through the concrete channel, adjacent green crop fields on both sides, flat landscape, warm golden daylight, Indian Punjab or Maharashtra setting, 600x400 landscape"
WEATHER,clear_day,Clear Sunny Day,wx_clear_day.jpg,assets/weather/,YES,1200x800,WeatherHome background,"Hyper-realistic wide landscape photo of a bright clear sunny day over an Indian farm field (wheat or cotton), vivid blue sky with minimal white clouds, warm golden sunlight casting long shadows on crop rows, horizon visible, cinematic feel, 1200x800 landscape"
WEATHER,clear_morning,Clear Morning,wx_clear_morning.jpg,assets/weather/,YES,1200x800,WeatherHome background,"Hyper-realistic wide photo of a clear early-morning Indian farmland scene, soft warm yellow-orange light low on the horizon, dew on green crops, long golden shadow streaks across the field, slight mist near horizon, cinematic landscape, 1200x800"
WEATHER,clear_night,Clear Night,wx_clear_night.jpg,assets/weather/,YES,1200x800,WeatherHome background,"Hyper-realistic wide photo of a clear starry night over an Indian agricultural landscape, Milky Way visible above, moonlit fields, silhouettes of crop stalks and a distant mango tree, deep indigo-blue sky, peaceful, cinematic, 1200x800 landscape"
WEATHER,rain_day,Rainy Day,wx_rain_day.jpg,assets/weather/,YES,1200x800,WeatherHome background,"Hyper-realistic wide landscape photo of a monsoon rain day over Indian farmland, heavy diagonal rain streaks, dark moody storm clouds, green paddy field, waterlogged paths, dramatic grey-green atmosphere, cinematic, 1200x800 landscape"
WEATHER,rain_night,Rainy Night,wx_rain_night.jpg,assets/weather/,YES,1200x800,WeatherHome background,"Hyper-realistic wide photo of a rainy night over Indian farmland, rain visible in dim lamplight, wet ground reflecting orange light, dark sky, silhouette of crops, moody atmosphere, cinematic, 1200x800 landscape"
WEATHER,thunderstorm,Thunderstorm,wx_thunderstorm.jpg,assets/weather/,YES,1200x800,WeatherHome background,"Hyper-realistic wide photo of a dramatic thunderstorm over Indian farmland, lightning bolt striking on the far horizon over flat fields, dark anvil storm clouds, green crops in foreground blurred by rain, blue-grey atmosphere, cinematic, 1200x800 landscape"
WEATHER,sunrise,Sunrise over Farm,wx_sunrise.jpg,assets/weather/,YES,1200x800,WeatherHome background,"Hyper-realistic wide photo of a golden sunrise over flat Indian farmland, brilliant orange-yellow sun just cresting the horizon between crop rows, silhouette of a farmer walking in the foreground, lens flare, cinematic 1200x800 landscape"
WEATHER,cloudy,Overcast Cloudy Day,wx_cloudy.jpg,assets/weather/,YES,1200x800,WeatherHome background,"Hyper-realistic wide photo of an overcast day over an Indian agricultural landscape, thick grey-white cloud cover, diffused flat light on green mustard or wheat fields, cool blue-grey atmosphere, no sun, calm serene, cinematic 1200x800 landscape"
WEATHER,haze,Hazy / Foggy Morning,wx_haze.jpg,assets/weather/,NO,1200x800,WeatherHome background (new),"Hyper-realistic wide photo of a misty foggy morning over North Indian (UP/Punjab) farmland, thick white-grey fog reducing visibility, wheat field rows barely visible emerging from mist, distant trees as silhouettes, soft diffused light, serene, cinematic 1200x800"
WEATHER,heatwave,Heat Wave,wx_heatwave.jpg,assets/weather/,NO,1200x800,WeatherHome background (new),"Hyper-realistic wide photo of a scorching summer heatwave over an Indian farm, heat shimmer/mirage visible above dry cracked soil, sun blazing in almost white-blue sky, withered brown crop in foreground, harsh high-noon shadows, 1200x800 landscape"
ANIMAL,cow,Cow (Desi / HF),cow.jpeg,assets/animals/,NO,600x400,AnimalTrade category chip,"Hyper-realistic close-up portrait photo of a healthy Indian dairy cow (Holstein Friesian or Desi Gir), clean body, calm expression, face close-up or 3/4 body shot, green Indian farm or clean barn background softly blurred, natural daylight, 600x400"
ANIMAL,buffalo,Buffalo,buffalo.jpeg,assets/animals/,NO,600x400,AnimalTrade category chip,"Hyper-realistic close-up portrait photo of a healthy Indian water buffalo (Murrah or Surti breed), shiny dark skin, calm demeanour, 3/4 body side angle, soft green Indian farm background blurred, natural warm light, 600x400"
ANIMAL,goat,Goat,goat.jpeg,assets/animals/,NO,600x400,AnimalTrade category chip,"Hyper-realistic close-up portrait photo of a healthy Sirohi or Black Bengal goat, white-brown coat, playful expression, ears prominent, soft farm field background blurred, warm natural light, Indian rural setting, 600x400"
ANIMAL,bullock,Bullock (Ox),bullock.jpeg,assets/animals/,NO,600x400,AnimalTrade category chip,"Hyper-realistic close-up portrait photo of a strong healthy Indian bullock (Hallikar or Khillar breed), muscular neck and hump, horns visible, calm expression, dry Indian farmland background blurred, warm daylight, 600x400"
ANIMAL,sheep,Sheep,sheep.jpeg,assets/animals/,NO,600x400,AnimalTrade category chip,"Hyper-realistic close-up portrait photo of a Deccani or Marwari sheep with thick woolly coat, white with brown markings, calm face, ears prominent, green Indian pastoral background blurred, soft daylight, 600x400"
ANIMAL,poultry,Poultry / Chicken,poultry.jpeg,assets/animals/,NO,600x400,AnimalTrade category chip,"Hyper-realistic close-up photo of healthy country chickens (Desi murgi) in a traditional Indian village courtyard setting, 2–3 birds foraging, earthy tones, warm golden hour light, Indian village farm feel, 600x400"
MACHINERY,tractor,Tractor,tractor.jpeg,assets/machinery/,NO,600x400,Rent category chip,"Hyper-realistic photo of a Mahindra or John Deere tractor in an Indian wheat field, vibrant red or green colour, clean side or 3/4 angle view, field rows visible in background, warm daylight, isolated farm setting, 600x400"
MACHINERY,harvester,Harvester / Combine,harvester.jpeg,assets/machinery/,NO,600x400,Rent category chip,"Hyper-realistic photo of a combine harvester working in a golden Indian wheat field at harvest time, machine harvesting rows of wheat, golden chaff flying, dust in air, warm harvest season light, wide-angle 600x400"
MACHINERY,sprayer,Sprayer (Boom / Knapsack),sprayer.jpeg,assets/machinery/,NO,600x400,Rent category chip,"Hyper-realistic photo of a tractor-mounted boom sprayer spraying pesticide over an Indian cotton or sugarcane field, fine white mist visible, blue-green morning light, clean action shot, 600x400"
MACHINERY,rotavator,Rotavator / Tiller,rotavator.jpeg,assets/machinery/,NO,600x400,Rent category chip,"Hyper-realistic photo of a rotavator tilling Indian farmland, tractor-mounted, freshly tilled dark brown soil behind it, clean furrows, dust rising slightly, warm golden light, 600x400"
MACHINERY,thresher,Thresher,thresher.jpeg,assets/machinery/,NO,600x400,Rent category chip,"Hyper-realistic photo of a paddy or wheat threshing machine (thresher) in operation at an Indian farm, golden grain and straw flying, farmers in background, warm post-harvest atmosphere, 600x400"
MACHINERY,transplanter,Paddy Transplanter,transplanter.jpeg,assets/machinery/,NO,600x400,Rent category chip,"Hyper-realistic photo of a paddy transplanter machine working in a flooded Indian rice field, planting green seedling rows in muddy water, lush green paddy landscape, warm daytime light, 600x400"
MACHINERY,pump,Water Pump / Motor,pump.jpeg,assets/machinery/,NO,600x400,Rent category chip,"Hyper-realistic photo of a diesel water pump set operating at an Indian farm field, water gushing from a blue pipe into an irrigation channel, green crops in background, warm light, rustic Indian farm setting, 600x400"
MACHINERY,truck,Transport Truck,truck.jpeg,assets/machinery/,NO,600x400,Rent category chip,"Hyper-realistic photo of a loaded agricultural transport truck (Tata or Mahindra) on an Indian rural road with sacks of farm produce (wheat bags/onions) on the flatbed, golden harvest season light, Indian landscape, 600x400"
DISEASE_SYMPTOM,yellow_leaves,Yellow Leaves,symptom_yellow_leaves.jpeg,assets/symptoms/,NO,400x400,CropScan symptom chip,"Hyper-realistic macro close-up of a crop leaf (wheat or tomato) showing chlorosis — yellowing of leaf edges and between veins, pale yellow-green to yellow discolouration, natural light, field background blurred, 400x400 square"
DISEASE_SYMPTOM,brown_spots,Brown Spots,symptom_brown_spots.jpeg,assets/symptoms/,NO,400x400,CropScan symptom chip,"Hyper-realistic macro close-up of a crop leaf with brown necrotic spots (blight or leaf spot), distinct tan-brown irregular lesions with dark borders on green leaf, sharp focus on texture, natural field light, 400x400 square"
DISEASE_SYMPTOM,white_powder,White Powder (Mildew),symptom_white_powder.jpeg,assets/symptoms/,NO,400x400,CropScan symptom chip,"Hyper-realistic macro close-up of a crop leaf infected with powdery mildew, chalky white powder/flour-like coating on upper leaf surface, green leaf visible underneath, sharp texture detail, natural light, 400x400 square"
DISEASE_SYMPTOM,wilting,Wilting / Drooping,symptom_wilting.jpeg,assets/symptoms/,NO,400x400,CropScan symptom chip,"Hyper-realistic photo of a wilting crop (tomato or chilli) plant, leaves drooping limply downward, stem and leaves losing turgidity, dry or partially wet soil, natural daylight, Indian field, 400x400 square"
DISEASE_SYMPTOM,insects,Insect Infestation,symptom_insects.jpeg,assets/symptoms/,NO,400x400,CropScan symptom chip,"Hyper-realistic macro close-up of aphids or whiteflies clustered on the underside of a green crop leaf, tiny insects clearly visible, some honeydew residue, natural light, sharp insect detail, green leaf background, 400x400 square"
DISEASE_SYMPTOM,stem_rot,Stem Rot,symptom_stem_rot.jpeg,assets/symptoms/,NO,400x400,CropScan symptom chip,"Hyper-realistic macro close-up of a crop stem (tomato or chilli) showing collar rot or stem rot — dark brown-black water-soaked lesion at the stem base near soil, mushy texture detail, natural light, 400x400 square"
SCHEME,pm_kisan,PM-KISAN,scheme_pm_kisan.jpeg,assets/schemes/,NO,600x300,SchemeScreen card image,"Hyper-realistic illustration-style image showing a happy Indian farmer family receiving digital payment on a smartphone in a wheat field, Indian government branding feel, green and saffron tones, sunrise background, clean modern look, 600x300 landscape"
SCHEME,pmfby,PMFBY Crop Insurance,scheme_pmfby.jpeg,assets/schemes/,NO,600x300,SchemeScreen card image,"Hyper-realistic illustration-style image showing a damaged crop field (hail or flood damage) with an insurance agent and farmer looking at a mobile app together, protective shield icon overlay, Indian government scheme feel, 600x300 landscape"
SCHEME,kcc,Kisan Credit Card,scheme_kcc.jpeg,assets/schemes/,NO,600x300,SchemeScreen card image,"Hyper-realistic illustration-style image showing a Kisan Credit Card (KCC) physical card design in green and gold colours, Indian flag colours, wheat stalk motif on card, held by Indian farmer hands, blurred farm background, 600x300 landscape"
SCHEME,soil_health_card,Soil Health Card,scheme_soil_health.jpeg,assets/schemes/,NO,600x300,SchemeScreen card image,"Hyper-realistic illustration showing a Soil Health Card booklet placed on rich dark Indian soil with a magnifying glass, scientist examining soil in background, Indian flag colours, clean modern look, 600x300 landscape"
SCHEME,pkvy,PKVY Organic Farming,scheme_pkvy.jpeg,assets/schemes/,NO,600x300,SchemeScreen card image,"Hyper-realistic photo of a thriving organic Indian farm, no chemicals, lush green rows of mixed vegetables, bee on flower, Indian farmer tending crops, clean natural look, PKVY organic farming scheme context, 600x300 landscape"
